product_ref,filename_or_slot,shot_type,verdict,reason,target_set_position,sector,assigned_tier
Wooden Dining Chair,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean front hero on white seamless.,1,Hotel,standard
Wooden Dining Chair,slot:dimension_diagram,dimension_diagram,MISSING,No seat-height or width spec for procurement.,2,Hotel,standard
Wooden Dining Chair,DMD-DinningChair - DC-WOOD1.jpg,full_room_scene,REDO,"Dreamy bokeh trio, wrong product (lounge armchair), inconsistent.",3,Hotel,standard
Wooden Dining Chair,DMD-DinningChair - DC-BL001.png,three_quarter_angle,KEEP,"Sharp photoreal blue dining chair, solid-wood legs, spec-able.",4,Hotel,standard
Wooden Dining Chair,slot:texture_macro,texture_macro,MISSING,No upholstery weave close-up for durability.,5,Hotel,standard
Workstation Desk,Workstation Desk 1.jpg,white_seamless_hero,KEEP,"Clean wide three-quarter, oak top, X-leg, sharp hero.",1,Hotel,standard
Workstation Desk,slot:dimension_diagram,dimension_diagram,MISSING,No measured desk dimensions for procurement layout.,2,Hotel,standard
Workstation Desk,slot:full_room_scene,full_room_scene,MISSING,No installed guest-room work-area context shot.,3,Hotel,standard
Workstation Desk,DMD Axis Workstation Desk.jpg,three_quarter_angle,KEEP,Sharp angled view shows cable port and powder-coat leg.,4,Hotel,standard
Workstation Desk,DMD Bracket Workstation Desk.jpg,side_profile,KEEP,"Clean straight-on view, reads X-leg silhouette clearly.",4,Hotel,standard
Workstation Desk,DMD Core Workstation Desk.jpg,three_quarter_angle,REDO,"Top edge cropped off, partial product framing weakens spec read.",4,Hotel,standard
Workstation Desk,DMD Echo Workstation Desk.jpg,three_quarter_angle,REDO,"In-image text 1.57 watermark on panel, off-brand mark.",4,Hotel,standard
Workstation Desk,DMD Forma Workstation Desk.jpg,three_quarter_angle,KEEP,"Clean angle, panel-end plus cable port, light-wood finish.",4,Hotel,standard
Workstation Desk,DMD Grid Workstation Desk.jpg,three_quarter_angle,REDO,"Top edge cropped, partial framing cuts product off.",4,Hotel,standard
Workstation Desk,DMD Luma Workstation Desk.jpg,three_quarter_angle,KEEP,"Clean angle with raised hutch and port, walnut finish.",4,Hotel,standard
Workstation Desk,DMD Modulo Workstation Desk.jpg,three_quarter_angle,KEEP,"Sharp angle, knotty-oak panel end, clean seamless ground.",4,Hotel,standard
Workstation Desk,DMD Strata Workstation Desk.jpg,three_quarter_angle,REDO,"Top edge cropped off, framing cuts the desktop.",4,Hotel,standard
Workstation Desk,DMD Terra Workstation Desk.jpg,three_quarter_angle,KEEP,"Clean angle, light wood, cable port, spec-able finish.",4,Hotel,standard
Workstation Desk,slot:texture_macro,texture_macro,MISSING,No wood-grain or powder-coat macro for finish proof.,5,Hotel,standard
Writing Desk,Writing Desk Cross Leg One side.jpg,three_quarter_angle,KEEP,"Clean photoreal 3/4 hero on light seamless, sharp, spec-able",1,Hotel,standard
Writing Desk,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing; buyers need width/depth/height to spec,2,Hotel,standard
Writing Desk,slot:full_room_scene,full_room_scene,MISSING,No in-guestroom context showing desk in real placement,3,Hotel,standard
Writing Desk,DMD Grid Writing Desk.jpg,three_quarter_angle,REDO,Phone/headphone props plus green charge graphic clutter the spec read,4,Hotel,standard
Writing Desk,DMD Luma Writing Desk.jpg,three_quarter_angle,KEEP,"Clean photoreal 3/4 angle, sharp, no clutter, sells finish",4,Hotel,standard
Writing Desk,DMD Strata Writing Desk.jpg,single_prop_styling,REDO,"Plant, headphones, phone, green charge graphic; off-brand prop clutter",4,Hotel,standard
Writing Desk,DMD Vault Writing Desk.jpg,three_quarter_angle,REDO,"Phone, headphones, green charge icon clutter; not clean spec shot",4,Hotel,standard
Writing Desk,DMD Core Writing Desk.jpg,three_quarter_angle,REDO,Phone/headphone props plus green charge graphic distract from desk,4,Hotel,standard
Writing Desk,DMD Axis Writing Desk.jpg,three_quarter_angle,REDO,"Cluttered with phone, cables, headphones, green charge graphic",4,Hotel,standard
Writing Desk,DMD Forma Writing Desk.jpg,three_quarter_angle,REDO,"Mat, phone, headphones, green charge icon clutter the spec read",4,Hotel,standard
Writing Desk,slot:texture_macro,texture_macro,MISSING,No close-up of wood grain or powder-coat finish quality,5,Hotel,standard
2-Seater Sofa,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean single-product hero on white to anchor the listing,1,Lobby Area,considered
2-Seater Sofa,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing; buyers cannot confirm footprint or seat height,2,Lobby Area,considered
2-Seater Sofa,slot:material_swatch_row,material_swatch_row,MISSING,No upholstery swatch row showing commercial fabric options,3,Lobby Area,considered
2-Seater Sofa,Orang-Blue.jpg,full_room_scene,KEEP,Photoreal two sofas in room; shows color options and scale,4,Lobby Area,considered
2-Seater Sofa,Orange-Gray.jpg,second_environment,REDO,Two-tone merge reads as one half-painted sofa; confusing for spec,4,Lobby Area,considered
2-Seater Sofa,slot:three_quarter_angle,three_quarter_angle,MISSING,No clean single-sofa 3/4 angle showing frame and arms,5,Lobby Area,considered
2-Seater Sofa,slot:hardware_detail,hardware_detail,MISSING,No leg or frame detail proving commercial-grade build,6,Lobby Area,considered
2-Seater Sofa,slot:functional_transformation,functional_transformation,MISSING,No seat/cushion detail or feature shot for the buyer,7,Lobby Area,considered
3-Seater Sofa,Sofa-8.png,white_seamless_hero,KEEP,"Clean photoreal curved sectional on white, sharp, spec-able",1,Lobby Area,considered
3-Seater Sofa,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing; buyers need length and footprint to spec,2,Lobby Area,considered
3-Seater Sofa,slot:material_swatch_row,material_swatch_row,MISSING,No upholstery swatch row showing commercial fabric choices,3,Lobby Area,considered
3-Seater Sofa,Sofa-5.jpg,full_room_scene,REDO,Blue/green two-tone split reads as one half-painted sofa; confusing,4,Lobby Area,considered
3-Seater Sofa,slot:full_room_scene,full_room_scene,MISSING,No clean lobby context; existing two-tone scene rejected,4,Lobby Area,considered
3-Seater Sofa,Sofa-6.png,three_quarter_angle,REDO,Low-res soft thumbnail; not sharp enough to spec,5,Lobby Area,considered
3-Seater Sofa,Sofa-7.png,three_quarter_angle,REDO,Low-res soft thumbnail; too small and blurry to sell,5,Lobby Area,considered
3-Seater Sofa,Sofa-9.png,three_quarter_angle,KEEP,"Clean photoreal velvet chaise on white, sharp 3/4 angle",5,Lobby Area,considered
3-Seater Sofa,slot:hardware_detail,hardware_detail,MISSING,No leg or frame detail proving commercial-grade durability,6,Lobby Area,considered
3-Seater Sofa,slot:functional_transformation,functional_transformation,MISSING,No cushion or no-sag spring detail for the buyer,7,Lobby Area,considered
Glass Top Coffee Table,Glass Top Coffee Table Natural Wood Stare Style.jpg,three_quarter_angle,KEEP,"Clean white hero, star base + glass clearly shown to buyer",1,Lobby Area,considered
Glass Top Coffee Table,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean front white-seamless hero; angles only,1,Lobby Area,considered
Glass Top Coffee Table,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for procurement spec sizing,2,Lobby Area,considered
Glass Top Coffee Table,slot:material_swatch_row,material_swatch_row,MISSING,No wood-finish swatch row for buyer selection,3,Lobby Area,considered
Glass Top Coffee Table,Glass Top Coffee Table X Box Legs.jpg,vignette,REDO,"Garbled fake text on book spines, styled prop scene off-brand",4,Lobby Area,considered
Glass Top Coffee Table,Glass Top Coffee Table Natural Wood Butterfly.jpg,three_quarter_angle,KEEP,"Sharp white-seamless side hero, live-edge walnut base reads spec-able",5,Lobby Area,considered
Glass Top Coffee Table,Glass Top Coffee Table Natural Wood X style.jpg,three_quarter_angle,REDO,"Dreamy gray gradient bokeh studio look, not sharp on-site realism",5,Lobby Area,considered
Glass Top Coffee Table,Glass Top Coffee Table Natural Wood.jpg,three_quarter_angle,KEEP,"Crisp white hero, double-glass star base variant clear",5,Lobby Area,considered
Glass Top Coffee Table,Glass Top Coffee Table Rectangle Legs.jpg,side_profile,KEEP,"Clean white-seamless profile, X-cross base height readable",5,Lobby Area,considered
Glass Top Coffee Table,Glass Top Coffee Table Wide H.jpg,three_quarter_angle,REDO,"Warped melted legs through glass, floating cut-off reflection artifact",5,Lobby Area,considered
Glass Top Coffee Table,slot:hardware_detail,hardware_detail,MISSING,No close-up of glass clamps/standoff hardware,6,Lobby Area,considered
Glass Top Coffee Table,slot:functional_transformation,functional_transformation,MISSING,No base-style comparison showing the variant range,7,Lobby Area,considered
Metal Accent Chair,Dusty Blue Upholstered Accent Chair 3.jpg,white_seamless_hero,KEEP,"Sharp multi-view white hero, front/side/back, brass tips visible",1,Lobby Area,standard
Metal Accent Chair,Orange Upholstered Accent Chair 2.jpg,white_seamless_hero,KEEP,"Crisp orange multi-angle spec sheet, all sides clear",1,Lobby Area,standard
Metal Accent Chair,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for seat height/footprint spec,2,Lobby Area,standard
Metal Accent Chair,slot:full_room_scene,full_room_scene,MISSING,No lobby scene showing chair in real context,3,Lobby Area,standard
Metal Accent Chair,Image_fx (80).jpg,three_quarter_angle,REDO,"Flat gray CGI render, soft muddy lighting, not photoreal",4,Lobby Area,standard
Metal Accent Chair,slot:texture_macro,texture_macro,MISSING,No upholstery weave close-up for durability check,5,Lobby Area,standard
Reception Desk Collections,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean straight-on hero of single desk variant,1,Lobby Area,flagship
Reception Desk Collections,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for counter height/length spec,2,Lobby Area,flagship
Reception Desk Collections,slot:material_swatch_row,material_swatch_row,MISSING,No wood/marble finish swatches for buyer selection,3,Lobby Area,flagship
Reception Desk Collections,slot:wide_establishing,wide_establishing,MISSING,No clean wide lobby establishing shot in context,4,Lobby Area,flagship
Reception Desk Collections,Recepction Desk1.jpg,full_room_scene,REDO,"Garbled 'Receptios' signage text, soft tilted CGI perspective",5,Lobby Area,flagship
Reception Desk Collections,slot:full_room_scene,full_room_scene,MISSING,Only room scene present is defective with bad text,5,Lobby Area,flagship
Reception Desk Collections,Curved Reception Desk.jpg,three_quarter_angle,KEEP,"Clean white hero, marble top + LED reveal + walnut clear",6,Lobby Area,flagship
Reception Desk Collections,slot:side_profile,side_profile,MISSING,No straight profile showing depth and base reveal,7,Lobby Area,flagship
Reception Desk Collections,slot:hardware_detail,hardware_detail,MISSING,No close-up of LED reveal/metal base/ADA ledge,8,Lobby Area,flagship
Reception Desk Collections,L-Shaped Reception Desk.jpg,three_quarter_angle,KEEP,"Sharp white hero, L-config and transaction ledge readable",9,Lobby Area,flagship
Reception Desk Collections,slot:footprint_plan,footprint_plan,MISSING,No top-down plan for lobby layout planning,10,Lobby Area,flagship
Round Coffee Table,Round Coffee Table - Round Base.jpg,three_quarter_angle,KEEP,"Clean white hero, disc pedestal base and inlay top clear",1,Lobby Area,standard
Round Coffee Table,Round Coffee Table one sylinder.jpg,three_quarter_angle,KEEP,"Crisp white hero, cylinder pedestal variant readable",1,Lobby Area,standard
Round Coffee Table,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for diameter/height spec,2,Lobby Area,standard
Round Coffee Table,slot:full_room_scene,full_room_scene,MISSING,No lobby seating-area scene showing table in context,3,Lobby Area,standard
Round Coffee Table,Round Coffee Table Modern 1.jpg,three_quarter_angle,REDO,"Muddy gray studio gradient, soft not sharp operator realism",4,Lobby Area,standard
Round Coffee Table,Round Coffee Table Modern 2.jpg,three_quarter_angle,KEEP,"Sharp white hero, slim metal X-base variant clearly shown",4,Lobby Area,standard
Round Coffee Table,slot:texture_macro,texture_macro,MISSING,No top-surface wood/edge close-up for finish check,5,Lobby Area,standard
Sectional Sofa,Sofa-3.png,white_seamless_hero,KEEP,"Clean navy curved sectional on white, photoreal hero.",1,Lobby Area,flagship
Sectional Sofa,Sofa-5.png,white_seamless_hero,REDO,Visible watermark/logo text across the sofa center.,1,Lobby Area,flagship
Sectional Sofa,slot:dimension_diagram,dimension_diagram,MISSING,No dimensioned line drawing for procurement sizing.,2,Lobby Area,flagship
Sectional Sofa,slot:material_swatch_row,material_swatch_row,MISSING,No commercial-fabric/finish options row for buyers.,3,Lobby Area,flagship
Sectional Sofa,slot:wide_establishing,wide_establishing,MISSING,No wide lobby establishing shot at scale.,4,Lobby Area,flagship
Sectional Sofa,10.jpg,full_room_scene,REDO,"Two mismatched-color sofas; reads as two products, generic stock room.",5,Lobby Area,flagship
Sectional Sofa,Sofa-1.png,three_quarter_angle,KEEP,"Green channel-tufted sectional, sharp three-quarter on white.",6,Lobby Area,flagship
Sectional Sofa,Sofa-2.png,three_quarter_angle,REDO,"Terracotta sectional too small and soft, not spec-able.",6,Lobby Area,flagship
Sectional Sofa,Sofa-4.png,side_profile,KEEP,"Green sectional, clean side-angle on white, photoreal.",7,Lobby Area,flagship
Sectional Sofa,slot:hardware_detail,hardware_detail,MISSING,No leg/frame hardware close-up for durability proof.,8,Lobby Area,flagship
Sectional Sofa,slot:functional_transformation,functional_transformation,MISSING,No modular reconfiguration shown for layout flexibility.,9,Lobby Area,flagship
Sectional Sofa,slot:footprint_plan,footprint_plan,MISSING,No top-down footprint for floor planning.,10,Lobby Area,flagship
Square Coffee Table,Square Coffee Table Cross Legs X style.jpg,white_seamless_hero,KEEP,"Dark walnut X-base, sharp three-quarter on white.",1,Lobby Area,standard
Square Coffee Table,slot:dimension_diagram,dimension_diagram,MISSING,No dimensioned drawing for table sizing.,2,Lobby Area,standard
Square Coffee Table,Square Coffee Table Cross Wood Legs.jpg,full_room_scene,REDO,"Muddy dark-paneled room, dramatic spotlight, weak context.",3,Lobby Area,standard
Square Coffee Table,slot:full_room_scene,full_room_scene,MISSING,No clean hotel-lobby in-context scene.,3,Lobby Area,standard
Square Coffee Table,Square Coffee Table Cross Wood Legs 2.jpg,three_quarter_angle,KEEP,"Light walnut X-base, sharp, shows finish option.",4,Lobby Area,standard
Square Coffee Table,Square Coffee Table Plus Sign.jpg,three_quarter_angle,KEEP,"Walnut grid base, sharp three-quarter on white.",4,Lobby Area,standard
Square Coffee Table,Square Coffee Table Waterfall Legs.jpg,three_quarter_angle,KEEP,"Dark waterfall-base table, clean photoreal on white.",4,Lobby Area,standard
Square Coffee Table,slot:texture_macro,texture_macro,MISSING,No wood-grain macro for finish quality.,5,Lobby Area,standard
Upholstered Accent Chair,Soft blush_peac Upholstered Accent Chair 360 return.jpg,white_seamless_hero,KEEP,"Blush chair multi-angle, photoreal, swivel base clear.",1,Lobby Area,considered
Upholstered Accent Chair,Warm terracott Upholstered Accent Chair 360 return 1.jpg,dimension_diagram,REDO,Garbled gibberish dimension text overlaid on image.,2,Lobby Area,considered
Upholstered Accent Chair,slot:dimension_diagram,dimension_diagram,MISSING,No clean dimensioned drawing for sizing.,2,Lobby Area,considered
Upholstered Accent Chair,Warm Gray and taupes Upholstered Accent Chair 360 return 6.jpg,material_swatch_row,KEEP,"Taupe chair multi-view, clean, shows finish option.",3,Lobby Area,considered
Upholstered Accent Chair,slot:full_room_scene,full_room_scene,MISSING,No hotel-lobby in-context lifestyle scene.,4,Lobby Area,considered
Upholstered Accent Chair,Soft Yellow Upholstered Accent Chair 4.jpg,three_quarter_angle,KEEP,"Yellow chair four-view, sharp, shows tapered legs.",5,Lobby Area,considered
Upholstered Accent Chair,slot:hardware_detail,hardware_detail,MISSING,No swivel-base/foot close-up for build quality.,6,Lobby Area,considered
Upholstered Accent Chair,slot:functional_transformation,functional_transformation,MISSING,No swivel-action demonstration for the buyer.,7,Lobby Area,considered
Wooden Accent Chair,DMD-DinningChair - DC-BL001.png,white_seamless_hero,REDO,"Blue chair too small, soft, CGI-looking, not spec-able.",1,Lobby Area,standard
Wooden Accent Chair,slot:white_seamless_hero,white_seamless_hero,MISSING,No sharp single-chair hero on clean white.,1,Lobby Area,standard
Wooden Accent Chair,slot:dimension_diagram,dimension_diagram,MISSING,No dimensioned drawing for sizing.,2,Lobby Area,standard
Wooden Accent Chair,slot:full_room_scene,full_room_scene,MISSING,No hotel in-context lifestyle scene.,3,Lobby Area,standard
Wooden Accent Chair,DMD-DinningChair - DC-WOOD1.jpg,three_quarter_angle,KEEP,"Wood-frame chairs three-up, sharp, photoreal on beige.",4,Lobby Area,standard
Wooden Accent Chair,slot:texture_macro,texture_macro,MISSING,No wood-joinery or fabric macro for quality.,5,Lobby Area,standard
Adjustable Ergonomic Chair,adjustable ergonomic chair.png,white_seamless_hero,KEEP,"Black mesh task chair, sharp photoreal three-quarter on white.",1,Office,standard
Adjustable Ergonomic Chair,slot:dimension_diagram,dimension_diagram,MISSING,No dimensioned drawing with adjustment ranges.,2,Office,standard
Adjustable Ergonomic Chair,slot:full_room_scene,full_room_scene,MISSING,No hotel back-office in-context scene.,3,Office,standard
Adjustable Ergonomic Chair,slot:three_quarter_angle,three_quarter_angle,MISSING,No second angle showing back/lumbar support.,4,Office,standard
Adjustable Ergonomic Chair,slot:texture_macro,texture_macro,MISSING,No mesh/control-lever macro for durability proof.,5,Office,standard
Conference Room Chairs,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean isolated white-background single-chair hero exists.,1,Office,considered
Conference Room Chairs,slot:dimension_diagram,dimension_diagram,MISSING,No measured dimension diagram for procurement sizing.,2,Office,considered
Conference Room Chairs,slot:material_swatch_row,material_swatch_row,MISSING,No fabric or mesh finish options row shown.,3,Office,considered
Conference Room Chairs,DMD Axis Conference Chair.png,full_room_scene,REDO,"Two-panel composite, not a single spec-able hero shot.",4,Office,considered
Conference Room Chairs,DMD CoreSync Meeting Chair.png,full_room_scene,REDO,"Small soft split image, low resolution, weak detail.",4,Office,considered
Conference Room Chairs,DMD Elevate Executive Chair.png,full_room_scene,KEEP,"Photoreal boardroom scene, clean light, sells the chair.",4,Office,considered
Conference Room Chairs,DMD Zenith Boardroom Chair.png,full_room_scene,KEEP,"Photoreal boardroom with clear hero chair, sells well.",4,Office,considered
Conference Room Chairs,DMD AeroMesh Boardroom Chair.png,three_quarter_angle,REDO,"Tiny low-res multi-view montage, soft and unspecable.",5,Office,considered
Conference Room Chairs,DMD FlowGrid Mesh Chair.png,three_quarter_angle,REDO,"Two-panel composite, not a clean isolated hero.",5,Office,considered
Conference Room Chairs,DMD Modus High-Back Chair.png,three_quarter_angle,REDO,"Composite room-plus-hero panel, not single spec shot.",5,Office,considered
Conference Room Chairs,DMD Skyline Director Chair.png,three_quarter_angle,REDO,"Two-panel composite layout, no clean standalone hero.",5,Office,considered
Conference Room Chairs,DMD StratEdge Conference Chair.png,three_quarter_angle,REDO,"Composite split image, not a single clean hero.",5,Office,considered
Conference Room Chairs,DMD UrbanForm Executive Chair.png,low_hero_angle,REDO,"Dreamy golden-flare bokeh, not sharp operator realism.",5,Office,considered
Conference Room Chairs,DMD VibeMesh Conference Chair.png,three_quarter_angle,REDO,"Tiny multi-view montage, low-res, not spec-able.",5,Office,considered
Conference Room Chairs,slot:hardware_detail,hardware_detail,MISSING,"No close-up of base, casters, or arm hardware.",6,Office,considered
Conference Room Chairs,slot:functional_transformation,functional_transformation,MISSING,"No tilt, recline, or adjustment mechanism shown.",7,Office,considered
DMD Bookshelf Collection,DMD narrow Natural Oak MDF.png,white_seamless_hero,KEEP,"Crisp front hero, lit shelves, natural oak shows true.",1,Office,standard
DMD Bookshelf Collection,DMD ConceptStack Library Wall - Honey Ash MDF.png,white_seamless_hero,KEEP,"Sharp straight-on white-bg hero, finish and grid clear.",1,Office,standard
DMD Bookshelf Collection,slot:dimension_diagram,dimension_diagram,MISSING,No measured dimension diagram for shelf sizing.,2,Office,standard
DMD Bookshelf Collection,slot:full_room_scene,full_room_scene,MISSING,No styled office room scene showing shelf in context.,3,Office,standard
DMD Bookshelf Collection,DMD Alto Cabinet Shelf - Espresso MDF.png,three_quarter_angle,KEEP,"Clean white-bg angled shelf, espresso finish reads sharp.",4,Office,standard
DMD Bookshelf Collection,DMD Elemental Archive Shelf - Warm Oak MDF.png,three_quarter_angle,KEEP,"Clean angled white-bg shot, warm oak and joinery clear.",4,Office,standard
DMD Bookshelf Collection,DMD GridForm Organizer - Natural Oak MDF.png,three_quarter_angle,KEEP,"Sharp angled cube grid on white, finish reads true.",4,Office,standard
DMD Bookshelf Collection,DMD Indigo Vault Shelf - Matte Blue MDF.png,three_quarter_angle,KEEP,"Clean angled shot, matte blue finish on-brand and sharp.",4,Office,standard
DMD Bookshelf Collection,DMD StudioCore Display Shelf - Deep Blue MDF.png,three_quarter_angle,KEEP,"Crisp angled white-bg, deep blue finish reads accurately.",4,Office,standard
DMD Bookshelf Collection,DMD TerraGrid Storage Wall - Light Walnut MDF.png,three_quarter_angle,KEEP,"Sharp angled white-bg, light walnut grain shows clearly.",4,Office,standard
DMD Bookshelf Collection,DMD TwinVault Display Cabinet - Golden Maple MDF.png,three_quarter_angle,KEEP,"Clean angled hero, golden maple finish and joinery clear.",4,Office,standard
DMD Bookshelf Collection,slot:texture_macro,texture_macro,MISSING,No close-up of MDF grain or edge finish texture.,5,Office,standard
DMD SoftClose Modular Cabinet,slot:white_seamless_hero,white_seamless_hero,MISSING,No clean single-unit hero on seamless white.,1,Office,considered
DMD SoftClose Modular Cabinet,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing; buyers need footprint specs.,2,Office,considered
DMD SoftClose Modular Cabinet,slot:material_swatch_row,material_swatch_row,MISSING,No finish options row for procurement choice.,3,Office,considered
DMD SoftClose Modular Cabinet,DMD SoftClose Modular Cabinet 5.png,full_room_scene,REDO,Garbled book-spine text artifacts break realism.,4,Office,considered
DMD SoftClose Modular Cabinet,DMD SoftClose Modular Cabinet 7.png,full_room_scene,REDO,"Distorted book-spine text; CGI-ish, not spec-grade.",4,Office,considered
DMD SoftClose Modular Cabinet,slot:full_room_scene,full_room_scene,MISSING,All room scenes ruined by text artifacts.,4,Office,considered
DMD SoftClose Modular Cabinet,slot:three_quarter_angle,three_quarter_angle,MISSING,No clean single-cabinet three-quarter studio shot.,5,Office,considered
DMD SoftClose Modular Cabinet,DMD SoftClose Modular Cabinet 2.png,hardware_detail,KEEP,"Sharp soft-close rail callout, photoreal, sells the mechanism.",6,Office,considered
DMD SoftClose Modular Cabinet,DMD SoftClose Modular Cabinet 4.png,hardware_detail,REDO,"Tiny, low-res, soft; unspec-able for a buyer.",6,Office,considered
DMD SoftClose Modular Cabinet,DMD SoftClose Modular Cabinet 3.png,functional_transformation,KEEP,"Dual soft-close detail in office, photoreal, feature clear.",7,Office,considered
DMD SoftClose Modular Cabinet,DMD SoftClose Modular Cabinet 6.png,functional_transformation,REDO,Warped drawer labels and gibberish text artifacts.,7,Office,considered
DMD SoftClose Modular Cabinet,DMD SoftClose Modular Cabinet 8.png,functional_transformation,REDO,Gibberish folder labels and book text artifacts.,7,Office,considered
Fabric Ergonomic Chair,Fabric Ergonomic Chair.png,white_seamless_hero,KEEP,"Photoreal three-quarter on white, no people, spec-clean.",1,Office,standard
Fabric Ergonomic Chair,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for desk-fit decisions.,2,Office,standard
Fabric Ergonomic Chair,slot:full_room_scene,full_room_scene,MISSING,No in-context office scene for the chair.,3,Office,standard
Fabric Ergonomic Chair,slot:three_quarter_angle,three_quarter_angle,MISSING,Only one angle; need second studio angle.,4,Office,standard
Fabric Ergonomic Chair,slot:texture_macro,texture_macro,MISSING,No close-up of fabric/mesh weave quality.,5,Office,standard
High-Back Executive Chair,High-Back Executive Chair.png,white_seamless_hero,KEEP,"Clean three-quarter leather chair on white, photoreal.",1,Office,standard
High-Back Executive Chair,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for seat-height specs.,2,Office,standard
High-Back Executive Chair,slot:full_room_scene,full_room_scene,MISSING,No executive-office context shot.,3,Office,standard
High-Back Executive Chair,slot:three_quarter_angle,three_quarter_angle,MISSING,Only one angle; need front or back too.,4,Office,standard
High-Back Executive Chair,slot:texture_macro,texture_macro,MISSING,No leather grain close-up for quality proof.,5,Office,standard
L-Shaped Executive Desk,L-Shaped Executive Desk with LED Lights 1.jpg,white_seamless_hero,KEEP,"Clean desk on white, three-quarter, photoreal, spec-able.",1,Office,considered
L-Shaped Executive Desk,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing; L-desks need footprint specs.,2,Office,considered
L-Shaped Executive Desk,slot:material_swatch_row,material_swatch_row,MISSING,No finish options for procurement selection.,3,Office,considered
L-Shaped Executive Desk,L-Shaped Executive Desk with LED Lights.jpg,full_room_scene,KEEP,"Desk plus hutch styled, LED glow shown, photoreal.",4,Office,considered
L-Shaped Executive Desk,slot:three_quarter_angle,three_quarter_angle,MISSING,No second clean studio angle of desk.,5,Office,considered
L-Shaped Executive Desk,slot:hardware_detail,hardware_detail,MISSING,"No close-up of drawers, cable cutouts, LED.",6,Office,considered
L-Shaped Executive Desk,slot:functional_transformation,functional_transformation,MISSING,No open-drawer or cable-routing feature shot.,7,Office,considered
L-Shaped Executive Desk 2,L-Shaped Executive Desk 2.jpg,white_seamless_hero,KEEP,"Sharp walnut workstation on white, photoreal, spec-clean.",1,Office,considered
L-Shaped Executive Desk 2,L-Shaped Executive Desk 2 - Top View.png,top_down,REDO,Tiny low-res thumbnail; no usable detail.,2,Office,considered
L-Shaped Executive Desk 2,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing; only low-res top thumbnail.,2,Office,considered
L-Shaped Executive Desk 2,slot:material_swatch_row,material_swatch_row,MISSING,No finish options for procurement selection.,3,Office,considered
L-Shaped Executive Desk 2,L-Shaped Executive Desk Dark Wood.jpg,full_room_scene,KEEP,"Styled desk with chair and props, photoreal, in-use.",4,Office,considered
L-Shaped Executive Desk 2,L-Shaped Executive Desk 2 - Front View.png,three_quarter_angle,REDO,"Tiny thumbnail, soft and low-res, unusable.",5,Office,considered
L-Shaped Executive Desk 2,L-Shaped Executive Desk 2 - Side View.png,side_profile,REDO,Tiny low-res thumbnail; no spec detail visible.,5,Office,considered
L-Shaped Executive Desk 2,slot:three_quarter_angle,three_quarter_angle,MISSING,Only low-res angle thumbnails; need clean studio angle.,5,Office,considered
L-Shaped Executive Desk 2,L-Shaped Executive Desk 2 - Cable Managment.png,hardware_detail,REDO,Low-res with in-image callout labels; not spec-grade.,6,Office,considered
L-Shaped Executive Desk 2,slot:hardware_detail,hardware_detail,MISSING,Cable shot is low-res with labels; need clean macro.,6,Office,considered
L-Shaped Executive Desk 2,L-Shaped Executive Desk 2 - Storage Details.png,functional_transformation,REDO,Tiny low-res; open drawer barely readable.,7,Office,considered
L-Shaped Executive Desk 2,slot:functional_transformation,functional_transformation,MISSING,Storage shot too small; need clear open-drawer shot.,7,Office,considered
Leather Executive Chair,leather executive chair.png,white_seamless_hero,KEEP,"Clean three-quarter on white, photoreal, no people.",1,Office,standard
Leather Executive Chair,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for seat dimensions.,2,Office,standard
Leather Executive Chair,slot:full_room_scene,full_room_scene,MISSING,No executive-office context shot.,3,Office,standard
Leather Executive Chair,slot:three_quarter_angle,three_quarter_angle,MISSING,Only one angle; need front or side view.,4,Office,standard
Leather Executive Chair,slot:texture_macro,texture_macro,MISSING,No leather grain and stitch close-up.,5,Office,standard
Mesh Ergonomic Chair,mesh ergonomic chair.png,white_seamless_hero,KEEP,"Clean front view on white, photoreal, spec-clean.",1,Office,standard
Mesh Ergonomic Chair,slot:dimension_diagram,dimension_diagram,MISSING,No measured drawing for adjustment ranges.,2,Office,standard
Mesh Ergonomic Chair,slot:full_room_scene,full_room_scene,MISSING,No in-context workstation scene.,3,Office,standard
Mesh Ergonomic Chair,slot:three_quarter_angle,three_quarter_angle,MISSING,Only front view; need angled studio shot.,4,Office,standard
Mesh Ergonomic Chair,slot:texture_macro,texture_macro,MISSING,No mesh-weave close-up for breathability proof.,5,Office,standard
